Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire
1,SC Ganguly,08-07-1972,Left_Hand,Right-arm medium,India,0
2,BB McCullum,27-09-1981,Right_Hand,Right-arm medium,New Zealand,0
3,RT Ponting,19-12-1974,Right_Hand,Right-arm medium,Australia,0
4,DJ Hussey,15-07-1977,Right_Hand,Right-arm offbreak,Australia,0
5,Mohammad Hafeez,17-10-1980,Right_Hand,Right-arm offbreak,Pakistan,0
6,R Dravid,11-01-1973,Right_Hand,Right-arm offbreak,India,0
7,W Jaffer,16-02-1978,Right_Hand,Right-arm offbreak,India,0
8,V Kohli,05-11-1988,Right_Hand,Right-arm medium,India,0
9,JH Kallis,16-10-1975,Right_Hand,Right-arm fast-medium,South Africa,0
10,CL White,18-08-1983,Right_Hand,Legbreak googly,Australia,0
11,MV Boucher,03-12-1976,Right_Hand,Right-arm medium,South Africa,0
12,B Akhil,07-10-1977,Right_Hand,Right-arm medium-fast,India,0
13,AA Noffke,30-04-1977,Right_Hand,Right-arm fast-medium,Australia,0
14,P Kumar,02-10-1986,Right_Hand,Right-arm medium,India,0
15,Z Khan,07-10-1978,Right_Hand,Left-arm fast-medium,India,0
16,SB Joshi,06-06-1970,Left_Hand,Slow left-arm orthodox,India,0
17,PA Patel,09-03-1985,Left_Hand,NULL,India,0
18,ML Hayden,29-10-1971,Left_Hand,Right-arm medium,Australia,0
19,MEK Hussey,27-05-1975,Left_Hand,Right-arm medium,Australia,0
20,MS Dhoni,07-07-1981,Right_Hand,Right-arm medium,India,0
21,SK Raina,27-11-1986,Left_Hand,Right-arm offbreak,India,0
22,JDP Oram,28-07-1978,Left_Hand,Right-arm fast-medium,New Zealand,0
23,S Badrinath,30-08-1980,Right_Hand,Right-arm offbreak,India,0
24,K Goel,24-12-1986,Left_Hand,Right-arm offbreak,India,0
25,JR Hopes,24-10-1978,Right_Hand,Right-arm medium,Australia,0
26,KC Sangakkara,27-10-1977,Left_Hand,Right-arm offbreak,Sri Lanka,0
27,Yuvraj Singh,12-12-1981,Left_Hand,Slow left-arm orthodox,India,0
28,SM Katich,21-08-1975,Left_Hand,Slow left-arm chinaman,Australia,0
29,IK Pathan,27-10-1984,Left_Hand,Left-arm medium-fast,India,0
30,T Kohli,17-12-1988,Right_Hand,Right-arm medium,India,0
31,YK Pathan,17-11-1982,Right_Hand,Right-arm offbreak,India,0
32,SR Watson,17-06-1981,Right_Hand,Right-arm fast-medium,Australia,0
33,M Kaif,01-12-1980,Right_Hand,Right-arm offbreak,India,0
34,DS Lehmann,05-02-1970,Left_Hand,Slow left-arm orthodox,Australia,0
